,coords,label
559,"[ 0.54883862  0.95726699  0.0000009   0.67525232  0.88876188 -0.07111412
  0.71563077  0.75989372 -0.07135841  0.66783577  0.63384813 -0.05365702
  0.62538719  0.55076033 -0.03602192  0.73252231  0.65707314 -0.05718944
  0.75569725  0.49619678 -0.0801644   0.75908387  0.39773571 -0.09372231
  0.76198065  0.30916017 -0.10474917  0.65509516  0.63596547 -0.04920455
  0.67025679  0.45937079 -0.07516519  0.66539466  0.34388834 -0.10169791
  0.6715495   0.24554673 -0.11560491  0.57749742  0.65031725 -0.04847638
  0.54742402  0.48611817 -0.1134991   0.51715773  0.37635466 -0.17250213
  0.50493211  0.27188221 -0.20597148  0.50292307  0.70754576 -0.04901956
  0.47219679  0.63639688 -0.12257064  0.47946376  0.69755977 -0.14503838
  0.49569213  0.76127988 -0.15209205]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0.]"
560,"[ 0.47910351  0.89967096  0.00000061  0.63072002  0.79399061 -0.04266826
  0.68586028  0.65225011 -0.02478024  0.65782481  0.51487988 -0.01070772
  0.62043339  0.42610133  0.00662567  0.68369657  0.57658976  0.05482867
  0.70261514  0.41968542  0.03563805  0.69124645  0.31696779  0.01808944
  0.68148363  0.22631687  0.00569086  0.58865052  0.57028222  0.05561876
  0.57759351  0.39973557  0.0090333   0.55527848  0.2781015  -0.03652677
  0.53825456  0.17966536 -0.05911958  0.50367349  0.59993017  0.04606122
  0.46113902  0.50048262 -0.04988664  0.47665423  0.60843551 -0.08464429
  0.49734712  0.69121355 -0.07509506  0.41754305  0.64961523  0.03568299
  0.39619178  0.57928538 -0.04887637  0.41638854  0.65465933 -0.06670307
  0.44203573  0.71850479 -0.05778159]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0.]"
561,"[ 0.50560141  0.87194526  0.00000052  0.66707581  0.72758919  0.20497531
  0.71899456  0.59477651  0.27608064  0.78002989  0.49313197  0.27766338
  0.78365314  0.38257724  0.27497542  0.47924745  0.43654606  0.37524858
  0.53650355  0.28558716  0.40449509  0.64365095  0.2590712   0.38564351
  0.72014701  0.3113448   0.37490514  0.44968396  0.42595509  0.23683853
  0.51556879  0.2270631   0.26980367  0.64600533  0.22482994  0.24465413
  0.72102576  0.28672859  0.23416594  0.44136685  0.4229584   0.09458975
  0.51044989  0.22177039  0.12304689  0.6479556   0.23072056  0.14119557
  0.71770346  0.29872885  0.1561605   0.4766514   0.43127164 -0.03980342
  0.57820195  0.28011149 -0.01187817  0.68532354  0.28026879  0.02305963
  0.74855411  0.3260909   0.05124261]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
562,"[ 0.539698    0.84451038  0.000001    0.66865039  0.7955336  -0.08159298
  0.7567299   0.63623708 -0.09750473  0.75507843  0.47651017 -0.10813045
  0.68018234  0.37987605 -0.11539363  0.70578742  0.48861971 -0.03132541
  0.69016933  0.30440289 -0.07633062  0.65908957  0.18960494 -0.1050238
  0.62940162  0.0897139  -0.1229616   0.61438572  0.48452032 -0.0229182
  0.60754997  0.30216235 -0.08989388  0.58437711  0.18449298 -0.13105609
  0.56240529  0.08690402 -0.14702167  0.52671534  0.51349205 -0.02464121
  0.49525225  0.37960446 -0.13646199  0.51409578  0.5056349  -0.14637062
  0.53302056  0.60568446 -0.11629585  0.43659729  0.56660086 -0.03073172
  0.41324884  0.47408974 -0.12609623  0.44078243  0.55732024 -0.12624869
  0.46714646  0.62919384 -0.10088913]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0.]"
563,"[ 0.59688318  0.86881912  0.00000116  0.70796257  0.83240622 -0.08737663
  0.77800238  0.70375955 -0.11989982  0.73367977  0.5744918  -0.14723425
  0.67278427  0.4735339  -0.168882    0.73336685  0.55604696 -0.05553381
  0.75393391  0.39153692 -0.11435045  0.76149613  0.2874667  -0.14723036
  0.76873237  0.20002857 -0.16744086  0.64228606  0.55410469 -0.05644029
  0.61554235  0.36731422 -0.14485525  0.60747027  0.24829394 -0.19774154
  0.59491974  0.15006599 -0.21934389  0.56263256  0.59208095 -0.06685729
  0.5187161   0.51700145 -0.19414261  0.55406666  0.63991749 -0.20932405
  0.58478171  0.71090305 -0.18095422  0.49016246  0.64886755 -0.08131965
  0.46635389  0.58924592 -0.17929678  0.50334877  0.67943978 -0.17778665
  0.53230029  0.73341149 -0.15240352]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
564,"[ 0.34364253  0.78842568  0.00000148  0.49052036  0.77445447 -0.01910796
  0.62489766  0.69866419 -0.06097967  0.75437671  0.68166018 -0.11258332
  0.87876844  0.69716316 -0.17016836  0.49662691  0.43442166 -0.05478958
  0.61598283  0.35802078 -0.13653007  0.73851752  0.34277654 -0.20227095
  0.85361755  0.35541594 -0.24677728  0.43883395  0.42129976 -0.09591152
  0.58307797  0.33018506 -0.17314404  0.72457391  0.3144924  -0.22133948
  0.85175693  0.3302139  -0.25411689  0.39191309  0.44278228 -0.14363705
  0.54255015  0.33786938 -0.21995118  0.68333757  0.31402791 -0.2554279
  0.80857557  0.31784207 -0.27415189  0.3651998   0.49519309 -0.19386856
  0.49903864  0.40087757 -0.2586098   0.61160141  0.35768086 -0.28551373
  0.71362394  0.34036714 -0.30045977]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
565,"[ 0.57945877  0.85037857  0.00000026  0.67016357  0.86387098 -0.07317125
  0.76969117  0.78859335 -0.13960244  0.74981761  0.73324621 -0.20462871
  0.66011328  0.72959483 -0.27016279  0.71236974  0.50530732 -0.1067137
  0.69437951  0.32368577 -0.18788484  0.69147831  0.20137507 -0.23986848
  0.67329115  0.10429642 -0.27702081  0.60625678  0.53577065 -0.11276093
  0.62887955  0.46539766 -0.21699779  0.67461377  0.62785286 -0.2310386
  0.67231345  0.6879198  -0.22073662  0.51769394  0.5827809  -0.12530397
  0.53208572  0.50707054 -0.22065277  0.59154761  0.64571768 -0.17457224
  0.59406585  0.70163214 -0.12600252  0.42798948  0.6432699  -0.14465581
  0.45634437  0.61432588 -0.2045864   0.51236373  0.70831764 -0.16531847
  0.52139455  0.73673242 -0.12552328]","[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
566,"[ 0.57340509  0.92515087  0.00000113  0.70213348  0.850034   -0.07651509
  0.76945168  0.70175737 -0.08973783  0.6869626   0.58265126 -0.09094151
  0.58725911  0.53418815 -0.09434759  0.68657488  0.52991056 -0.0492328
  0.69725198  0.35917744 -0.07774136  0.70583099  0.25063604 -0.10227095
  0.71608031  0.16549975 -0.12058738  0.59623098  0.52030224 -0.04077564
  0.59313965  0.33663303 -0.06567266  0.59537697  0.21485072 -0.10005683
  0.60431331  0.12939152 -0.12239082  0.52047765  0.54884684 -0.04087436
  0.49269435  0.36698914 -0.09334979  0.47917679  0.2543034  -0.15427776
  0.47532904  0.17427045 -0.19195621  0.44450569  0.61120188 -0.04466183
  0.41485283  0.51784366 -0.10964864  0.42102349  0.53051174 -0.14100306
  0.43068051  0.56848896 -0.15566249]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0.]"
567,"[ 0.50025427  0.86100745  0.00000106  0.62750441  0.76871288 -0.09243901
  0.69909537  0.63202018 -0.10210285  0.69893098  0.49561155 -0.10401569
  0.63218594  0.41233742 -0.09999923  0.63208181  0.48286775  0.00237233
  0.60401136  0.32778388 -0.01414118  0.5626713   0.22530718 -0.03691381
  0.51842958  0.13662288 -0.05591911  0.55551517  0.47731408  0.02816272
  0.55979615  0.31350476  0.00668192  0.55663693  0.2027528  -0.02310755
  0.55227798  0.11479235 -0.04481964  0.48393869  0.50162148  0.03788539
  0.4378196   0.36521289 -0.02355047  0.4474906   0.41615781 -0.0611699
  0.46740445  0.48587859 -0.06902082  0.40789855  0.5360471   0.03946922
  0.36778128  0.42964187 -0.02097439  0.39140078  0.45171699 -0.04888888
  0.43094164  0.504987   -0.0583063 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0.]"
568,"[ 0.30814359  0.90781772  0.00000084  0.43495536  0.87337106 -0.15794033
  0.55591905  0.82005966 -0.24035606  0.69575197  0.78181016 -0.30334145
  0.80447936  0.75215811 -0.35415119  0.49743479  0.52486342 -0.12812863
  0.52600646  0.3602629  -0.20422494  0.53986669  0.24552995 -0.22997329
  0.54751801  0.1443966  -0.23954962  0.39494559  0.53284574 -0.08219913
  0.33608833  0.45636103 -0.15572855  0.34932169  0.59973413 -0.1269585
  0.39685971  0.62095195 -0.0835215   0.30080965  0.55290145 -0.05938641
  0.24715064  0.5201304  -0.14709269  0.27599484  0.64611936 -0.10430928
  0.32243013  0.64784837 -0.05021575  0.21889673  0.58116639 -0.05194166
  0.1654987   0.54080027 -0.10193978  0.1976404   0.62873125 -0.07073737
  0.23754267  0.65825689 -0.0316126 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
569,"[ 0.66832125  0.79265654 -0.00000034  0.73195207  0.67802691 -0.08137783
  0.70032001  0.52501333 -0.09792649  0.60986626  0.42411885 -0.10390992
  0.52377898  0.37279484 -0.10092987  0.57700163  0.42297971 -0.05109898
  0.49085587  0.28710318 -0.10519174  0.43235895  0.20519497 -0.1242191
  0.3697969   0.14039946 -0.13431114  0.51805508  0.49789852 -0.03898951
  0.46511635  0.44313362 -0.10821436  0.56346416  0.54287457 -0.10094044
  0.58501178  0.56397539 -0.07584956  0.47196835  0.57733715 -0.04068017
  0.43297821  0.53839892 -0.13252844  0.54377645  0.6217503  -0.10388795
  0.55838519  0.63152754 -0.06059712  0.43502265  0.66749156 -0.04927349
  0.40684664  0.63041854 -0.1130956   0.49708784  0.67466962 -0.09081773
  0.51718235  0.69455427 -0.05940401]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1.]"
570,"[ 0.77638918  0.82163215 -0.0000008   0.80448657  0.66857737 -0.02918161
  0.75044072  0.54464519 -0.04501594  0.63716465  0.483753   -0.06259996
  0.53993577  0.50586319 -0.07029197  0.65194267  0.48461837 -0.01404565
  0.5863961   0.36155733 -0.05771096  0.62853849  0.42314866 -0.07971077
  0.66439623  0.48748118 -0.08736134  0.58654249  0.53329688 -0.02399251
  0.49148831  0.43230247 -0.07984786  0.56540632  0.48777202 -0.10588136
  0.62663174  0.53127128 -0.11472443  0.53485215  0.59609067 -0.04212579
  0.47769904  0.53507334 -0.10041019  0.58246946  0.56925231 -0.12831193
  0.66005296  0.60345173 -0.13791327  0.49098903  0.66405743 -0.06092954
  0.37918511  0.62834322 -0.09317128  0.3074224   0.59024191 -0.11562146
  0.23584306  0.54929167 -0.13384035]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
571,"[ 0.76525164  0.32491669 -0.00000114  0.76545519  0.36298943 -0.12261851
  0.68136889  0.41654468 -0.193252    0.58397621  0.57813513 -0.23545669
  0.49783763  0.6883806  -0.27816308  0.45507738  0.21041833 -0.21206997
  0.37214682  0.41798005 -0.28020993  0.27547789  0.54254508 -0.33495525
  0.19777274  0.61156368 -0.3732065   0.40100095  0.20480683 -0.17790684
  0.394669    0.49526149 -0.21087964  0.47627813  0.5589208  -0.22568208
  0.54164153  0.56583738 -0.24243447  0.38054633  0.24320367 -0.14568998
  0.39439723  0.52197862 -0.17249648  0.5060457   0.53072476 -0.16305746
  0.57465953  0.4981457  -0.16058721  0.38408712  0.29872346 -0.12580137
  0.37681332  0.52424234 -0.15667312  0.4620038   0.57424915 -0.13728864
  0.52750301  0.59297734 -0.11578934]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
572,"[ 0.55809474  0.89372337  0.00000136  0.67514414  0.85785025 -0.08923965
  0.73098743  0.72941017 -0.12067761  0.68240017  0.60562336 -0.14612989
  0.62885767  0.49965596 -0.16437379  0.68288356  0.57719582 -0.05935417
  0.7046898   0.40873125 -0.12228082  0.70703262  0.30620575 -0.15275937
  0.71221852  0.21662349 -0.16907185  0.58944458  0.57493943 -0.0596292
  0.55582994  0.38747108 -0.15487614  0.54493988  0.26998463 -0.20376889
  0.53438151  0.16670525 -0.21850865  0.51064646  0.61627036 -0.06971079
  0.46349436  0.54899138 -0.20921335  0.50807524  0.67846429 -0.22042625
  0.54262412  0.7490536  -0.18342982  0.44073242  0.68414116 -0.08323506
  0.41227329  0.63174194 -0.19291289  0.4560838   0.72658056 -0.18902871
  0.48600495  0.77946073 -0.15705298]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
573,"[ 0.78388697  0.75774956  0.00000034  0.74515975  0.58290315 -0.09271704
  0.65662277  0.47100621 -0.11756643  0.53054464  0.43764609 -0.13372982
  0.41548818  0.44969273 -0.14185299  0.47325742  0.52571046 -0.00064444
  0.3208448   0.5219807  -0.0525176   0.22595605  0.51366812 -0.09504557
  0.14086193  0.50944173 -0.12363715  0.47168258  0.62732494  0.01267283
  0.348409    0.6201154  -0.0716029   0.47055274  0.63012046 -0.11001343
  0.53969824  0.62524545 -0.11155941  0.48520845  0.71537882  0.00914756
  0.37871528  0.72607791 -0.0906585   0.50392729  0.72520608 -0.10038768
  0.55285686  0.70567214 -0.07791806  0.49863335  0.7999382  -0.00227832
  0.42721212  0.80652976 -0.07413665  0.51709008  0.80000854 -0.07599155
  0.56191367  0.78243679 -0.05947896]","[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
574,"[ 0.52816951  0.83750057 -0.00000079  0.61487067  0.74901915 -0.06509317
  0.60529053  0.57122254 -0.09485983  0.47364697  0.47997037 -0.12314872
  0.36474329  0.41892278 -0.13756187  0.64639032  0.46336305 -0.01573503
  0.66359967  0.34325314 -0.09641039  0.66481555  0.45158091 -0.14538558
  0.65467483  0.55426347 -0.16482083  0.54701757  0.47473636 -0.0157762
  0.56437218  0.36568812 -0.10039687  0.57950062  0.50426483 -0.12675977
  0.58025366  0.59619933 -0.12209541  0.45001727  0.50609237 -0.03161041
  0.46511585  0.37139571 -0.12125588  0.50339127  0.50830883 -0.11749454
  0.510737    0.59614098 -0.09029122  0.3537696   0.56131411 -0.05195685
  0.40226957  0.5074023  -0.12734917  0.45089182  0.60171747 -0.12692523
  0.46600941  0.65879059 -0.10750247]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
575,"[ 0.57319725  0.92231888  0.00000114  0.6998511   0.82682729 -0.06571119
  0.73754859  0.66425961 -0.07449745  0.65189505  0.53070146 -0.07005332
  0.55686408  0.47118124 -0.06893475  0.70550174  0.53227264 -0.06001996
  0.74366844  0.3597008  -0.08834806  0.7582972   0.25372642 -0.10907458
  0.76843125  0.15711412 -0.12625407  0.60372275  0.52419794 -0.06108243
  0.59188765  0.32785404 -0.08744344  0.58028066  0.20105055 -0.11628321
  0.57713437  0.09601757 -0.13371511  0.51667172  0.56354463 -0.06810942
  0.4487235   0.38880822 -0.13460773  0.40846652  0.26592994 -0.20028919
  0.38213575  0.15676677 -0.24178061  0.44384784  0.64315557 -0.07563473
  0.43282467  0.5849179  -0.15893394  0.46871495  0.64448637 -0.19049177
  0.50163919  0.70194542 -0.2047011 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0.]"
576,"[ 0.41497421  0.92425454  0.00000008  0.56800681  0.8849653  -0.06031037
  0.67126691  0.76658601 -0.07229456  0.63507724  0.62590271 -0.08176026
  0.52369773  0.59910482 -0.09048407  0.61813551  0.58188951 -0.00025243
  0.62870651  0.43492746 -0.01595496  0.62479258  0.3317278  -0.03454477
  0.62106526  0.25068042 -0.05425413  0.52762222  0.55908656  0.00696646
  0.5349223   0.409796   -0.03498857  0.52867979  0.47460338 -0.05806378
  0.52561581  0.55464286 -0.05984326  0.44693965  0.56387985  0.00748027
  0.44647408  0.42792726 -0.03415888  0.45220956  0.48242438 -0.03979858
  0.45007807  0.56458867 -0.02994527  0.36311093  0.5921185   0.00160556
  0.35670787  0.47596353 -0.02901735  0.37815765  0.50332814 -0.02856223
  0.39016306  0.57204843 -0.01997872]","[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
577,"[ 0.36642852  0.86353981 -0.0000008   0.53112113  0.84264028 -0.05091481
  0.68170631  0.71600688 -0.05958398  0.78833348  0.6065824  -0.0662114
  0.88433969  0.57753128 -0.05980959  0.65583766  0.5903129  -0.02512734
  0.66119659  0.44894958 -0.09317484  0.60901445  0.54130912 -0.12499991
  0.58605325  0.62990868 -0.13356854  0.55625534  0.55755711 -0.02130528
  0.54721475  0.43254671 -0.10149466  0.50489765  0.55626255 -0.12397473
  0.5030061   0.643938   -0.12447139  0.45820233  0.53437662 -0.03125256
  0.44788662  0.41479445 -0.10793421  0.42860931  0.52569693 -0.1148063
  0.43203551  0.61452377 -0.10213593  0.36105669  0.5231204  -0.0450221
  0.36300749  0.38199699 -0.09087482  0.36684144  0.30675021 -0.10760339
  0.38167495  0.23636237 -0.1126365 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0.]"
578,"[ 0.31929651  0.78260839  0.00000138  0.47949299  0.7695837  -0.00342486
  0.61443144  0.71622401 -0.04648153  0.73565799  0.71127576 -0.1039923
  0.85474414  0.72301626 -0.16719458  0.48534071  0.43465906 -0.04827147
  0.6248557   0.3458668  -0.12542391  0.7487191   0.33715823 -0.18397331
  0.85736585  0.35685673 -0.22449878  0.43140772  0.41530728 -0.1034187
  0.59332258  0.30212867 -0.17776734  0.7366966   0.29616696 -0.22258419
  0.85243702  0.33003879 -0.25422296  0.38968012  0.43175778 -0.16444811
  0.55422497  0.32052067 -0.23749457  0.70161963  0.30715972 -0.2723223
  0.82339847  0.32237595 -0.29402173  0.37382936  0.48044184 -0.22683695
  0.5116927   0.39242628 -0.29261789  0.6297648   0.36246181 -0.32218522
  0.7331351   0.35977718 -0.34146681]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
579,"[ 0.46993342  0.84741956  0.00000042  0.63954401  0.71340483  0.18576348
  0.69544733  0.57922804  0.2553975   0.75545806  0.47205025  0.25656143
  0.74596578  0.35817218  0.25476673  0.46735004  0.41932768  0.38869902
  0.51214021  0.26365793  0.41630533  0.61368656  0.24061197  0.39391729
  0.68078214  0.29793972  0.3819502   0.43246394  0.40361738  0.2586171
  0.48814875  0.20534094  0.28570116  0.61788499  0.21108666  0.25125632
  0.68963951  0.27763033  0.23669389  0.41372073  0.39681298  0.12041278
  0.47704574  0.19487876  0.13821921  0.618873    0.21167822  0.14350094
  0.68638235  0.28540617  0.15322183  0.43538135  0.40700853 -0.01133689
  0.53996509  0.25360388  0.00817424  0.65325475  0.25818685  0.03339693
  0.71710074  0.30907309  0.0551846 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
580,"[ 0.31949165  0.80403435  0.00000108  0.49729431  0.762034    0.02933887
  0.62217307  0.69914269 -0.00581333  0.73795211  0.6914351  -0.06352498
  0.85769618  0.69792205 -0.13130771  0.48659098  0.41831416 -0.03222948
  0.62740928  0.34894899 -0.1140832   0.74467021  0.34369299 -0.17764556
  0.8544358   0.36054268 -0.22573452  0.4255524   0.41369039 -0.11333077
  0.5863418   0.3177349  -0.20240663  0.72617346  0.30766702 -0.25694254
  0.84617221  0.32928574 -0.2966491   0.37605059  0.44327554 -0.19869946
  0.53797883  0.3417992  -0.2904174   0.67832786  0.32716432 -0.33361009
  0.79964805  0.32989031 -0.3607429   0.35436091  0.50328702 -0.28235888
  0.48450595  0.41247359 -0.36924052  0.59378678  0.37431449 -0.41180608
  0.69627881  0.35612544 -0.44056615]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
581,"[ 0.8465541   0.37090993 -0.00000044  0.80314291  0.41551185 -0.19472286
  0.70144999  0.50037706 -0.24627681  0.63229853  0.61899883 -0.25404447
  0.57072794  0.72236371 -0.24520437  0.45751959  0.33948195 -0.15434933
  0.30450976  0.47048932 -0.21765001  0.2246072   0.57764328 -0.25713682
  0.16206628  0.66217971 -0.27997184  0.47213054  0.3915624  -0.0705061
  0.4429231   0.57381672 -0.15375644  0.53900433  0.56679142 -0.17872696
  0.58064753  0.50137448 -0.17268737  0.49849981  0.45713672 -0.00600349
  0.480672    0.60687196 -0.09896798  0.57003355  0.58440101 -0.12041256
  0.58669841  0.53126341 -0.10717168  0.5251838   0.50048351  0.04311263
  0.52660912  0.60550958 -0.04186999  0.60245997  0.59204143 -0.06598651
  0.64151132  0.55201101 -0.0582814 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
582,"[ 0.84436923  0.59201503 -0.00000016  0.80779719  0.56879365 -0.14739636
  0.69961232  0.59081078 -0.1815193   0.59778786  0.66055417 -0.18616265
  0.52164358  0.73795307 -0.1832694   0.50149906  0.45311439 -0.11541671
  0.32800865  0.43413079 -0.16766421  0.21387279  0.42393637 -0.2056881
  0.11794719  0.42545772 -0.23299184  0.49370018  0.52922475 -0.05919129
  0.44745725  0.65233386 -0.13752076  0.49796829  0.75933677 -0.19268434
  0.5451864   0.82211989 -0.21578145  0.50544834  0.60494936 -0.01566339
  0.45902461  0.71989417 -0.11106728  0.51603621  0.78571367 -0.16161069
  0.55208468  0.81807315 -0.1718162   0.52800989  0.64948714  0.01934567
  0.48741418  0.73618913 -0.07094827  0.52227908  0.77536285 -0.10959657
  0.56368715  0.79770148 -0.11473866]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
583,"[ 0.53215575  0.8667227   0.00000106  0.65512723  0.76975524 -0.05453173
  0.70619547  0.62826049 -0.06517071  0.69395691  0.51055306 -0.07767863
  0.64486051  0.42896169 -0.0860051   0.66182965  0.51114547 -0.00793772
  0.64985931  0.3604537  -0.05142457  0.62180507  0.26139215 -0.08124354
  0.58822852  0.17590079 -0.09905069  0.5907771   0.52029061 -0.01268704
  0.61797959  0.35248166 -0.0736575   0.62548226  0.2435281  -0.10902979
  0.62578636  0.15265071 -0.12183893  0.51288521  0.56201708 -0.02692867
  0.50073242  0.45451021 -0.12785895  0.52907401  0.56128645 -0.13730954
  0.55268323  0.6443063  -0.11066369  0.43553543  0.62484461 -0.04419517
  0.43913868  0.55366254 -0.12764762  0.47391844  0.63145089 -0.1244652
  0.4968414   0.69177198 -0.10015474]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0.]"
584,"[ 0.60202545  0.93876255  0.00000114  0.72188354  0.83369768 -0.07771176
  0.74331045  0.666789   -0.08794528  0.69887048  0.52250981 -0.09542605
  0.66379726  0.41032207 -0.0970814   0.7005567   0.53891867 -0.01005282
  0.70017987  0.35962373 -0.0493098   0.68632871  0.24843779 -0.07303423
  0.66974777  0.14851823 -0.08820394  0.60361892  0.5428462  -0.00436269
  0.5663085   0.36033428 -0.06388297  0.5394758   0.23633    -0.10106117
  0.51594466  0.12841722 -0.11595326  0.51917267  0.58979571 -0.01140895
  0.46594357  0.47853482 -0.11929612  0.51032621  0.59507346 -0.13680227
  0.54594487  0.67836845 -0.11262506  0.43941119  0.66271955 -0.02316068
  0.39454764  0.57678413 -0.11713044  0.43839091  0.64652407 -0.12666391
  0.48130125  0.70330828 -0.10928944]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
585,"[ 0.65522301  0.91150928  0.00000114  0.77769864  0.86374867 -0.09187037
  0.83592093  0.7488085  -0.10848621  0.8063572   0.62013823 -0.10458734
  0.75166893  0.5370661  -0.10020045  0.85374385  0.62117344 -0.07774854
  0.89207631  0.46559429 -0.10942408  0.90309542  0.36745355 -0.13176113
  0.91496968  0.27731422 -0.14879115  0.77534771  0.59579736 -0.06471045
  0.7960611   0.41662809 -0.09415498  0.79775101  0.29752195 -0.12634088
  0.8078258   0.20107853 -0.14511865  0.69420797  0.60634094 -0.06036732
  0.66504204  0.43574733 -0.13020347  0.6420334   0.32360157 -0.19174926
  0.63832641  0.22242716 -0.22727601  0.61426556  0.65777957 -0.05947421
  0.59508967  0.58450991 -0.13775337  0.60014886  0.64998454 -0.16075648
  0.61008656  0.7240811  -0.16790009]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0.]"
586,"[ 0.54874426  0.71575296 -0.00000075  0.68758559  0.68626809 -0.10366571
  0.79184818  0.49096727 -0.13483818  0.76853681  0.30433795 -0.15458864
  0.74383438  0.15087989 -0.16001864  0.77191007  0.31245703 -0.03366152
  0.81735384  0.21342045 -0.14128363  0.8104282   0.29328501 -0.18833211
  0.77685475  0.38894683 -0.19339794  0.62977099  0.29672524 -0.01345699
  0.64176917  0.19655289 -0.12794644  0.64140505  0.38530946 -0.14518079
  0.63275701  0.49203098 -0.11900997  0.49215421  0.31282005 -0.01456419
  0.50134057  0.24838592 -0.1440881   0.52206475  0.43261778 -0.11786613
  0.52141106  0.52502239 -0.05743553  0.34864134  0.35256815 -0.02114139
  0.37085924  0.27922988 -0.10822769  0.4062413   0.40909043 -0.07968337
  0.41605195  0.4753603  -0.02884127]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
